s2_2224,lon,lat
3.8367222468367217,34.345221,31.281225
4.577547012261661,34.301145,31.284385
5.516128977282027,34.304296,31.284353
6.782626375423567,34.307447,31.284321
6.488261656135328,34.310598,31.284289
5.478518095879935,34.313749,31.284257
4.707351472767083,34.3169,31.284225
7.305187645398669,34.320052,31.284192
4.721400927283007,34.323203,31.28416
6.791181662096069,34.326354,31.284127
6.395395444433803,34.329505,31.284095
6.479622371472184,34.332656,31.284062
13.402955660961231,34.335807,31.28403
10.568092732819752,34.338958,31.283997
5.545550945937551,34.342109,31.283964
5.205568705058078,34.34526,31.283931
6.204126545628363,34.348411,31.283898
4.57620816016768,34.351562,31.283865
5.005440717993207,34.301182,31.287091
7.189373719675994,34.304334,31.287059
6.484798390222763,34.307485,31.287027
7.557662805009724,34.310636,31.286995
5.943796715398781,34.313787,31.286963
6.910654589690625,34.316938,31.286931
5.906767696057109,34.320089,31.286899
6.776508610243492,34.32324,31.286866
5.633515880355747,34.326391,31.286834
5.191936260669832,34.329543,31.286801
6.243429045521462,34.332694,31.286768
9.178601232378924,34.335845,31.286736
9.123847679309286,34.338996,31.286703
5.388625281623943,34.342147,31.28667
6.635360604963871,34.345298,31.286637
6.28272897518351,34.348449,31.286604
6.082510218868247,34.3516,31.286571
6.385966535832762,34.354751,31.286538
3.556542122431395,34.357902,31.286504
5.0739259556265095,34.30122,31.289798
5.1368556801658665,34.304371,31.289766
6.192678005110979,34.307522,31.289734
6.992148225257584,34.310673,31.289701
5.894160144855399,34.313825,31.289669
4.665708406326944,34.316976,31.289637
5.650832378086038,34.320127,31.289605
4.630651670374505,34.323278,31.289572
5.356513350500652,34.326429,31.28954
5.4334781689585006,34.329581,31.289507
6.6598045099358965,34.332732,31.289474
8.885492822043283,34.335883,31.289442
12.224486926892574,34.339034,31.289409
7.198572345167024,34.342185,31.289376
8.017981462542522,34.345336,31.289343
10.022051653810088,34.348488,31.28931
4.989161445534497,34.351639,31.289277
5.894700451801249,34.35479,31.289244
8.27361840849195,34.357941,31.28921
7.03580336756764,34.361092,31.289177
3.3516804281326347,34.364243,31.289144
5.416786432925416,34.301257,31.292504
5.190483535539097,34.304408,31.292472
4.9600912971986375,34.307559,31.29244
6.497797428040788,34.310711,31.292408
5.488292282559214,34.313862,31.292375
5.581675899930533,34.317013,31.292343
5.4449670918682385,34.320165,31.292311
5.5107170755015815,34.323316,31.292278
5.089312766127651,34.326467,31.292246
4.302792513947052,34.329619,31.292213
8.02471930424718,34.33277,31.292181
10.773679950875838,34.335921,31.292148
18.754703023260458,34.339072,31.292115
9.698922211648338,34.342224,31.292082
8.180118145916358,34.345375,31.292049
8.169395179678114,34.348526,31.292016
7.598108132819527,34.351677,31.291983
6.795894258795423,34.354829,31.29195
7.4003789254888455,34.35798,31.291917
8.773471950059161,34.361131,31.291883
7.683445413638609,34.364282,31.29185
3.885406248608192,34.367434,31.291816
7.889170483618363,34.301294,31.29521
