event_id,s1_post_radd_any,s1_post_date_upper
F15998,8.161290322580644,8.161290322580644
F26651,31.5,31.5
F15997,20.741935483870968,20.741935483870968
F9081,19.774193548387096,19.774193548387096
F23682,53.516129032258064,53.516129032258064
F2949,22.67741935483871,22.67741935483871
F23914,23.64516129032258,31.666666666666664
F5340,26.548387096774192,26.548387096774192
F16007,15.833333333333334,15.833333333333334
F5343,21.70967741935484,21.70967741935484
F42092,25.58064516129032,25.58064516129032
F1631,19.774193548387096,19.774193548387096
F12707,13.833333333333332,13.833333333333332
F294,24.612903225806452,24.612903225806452
F12713,15.833333333333334,15.833333333333334
F1633,18.806451612903224,18.806451612903224
F2943,16.833333333333336,16.833333333333336
F5321,23.64516129032258,23.64516129032258
F35532,27.516129032258064,27.516129032258064
F35555,28.333333333333332,23.64516129032258
F2944,21.70967741935484,21.70967741935484
F11344,19.774193548387096,19.774193548387096
F12686,53.516129032258064,53.516129032258064
F23863,24.612903225806452,31.666666666666664
F23871,15.833333333333334,31.666666666666664
F41166,22.67741935483871,22.67741935483871
F33520,23.64516129032258,25.096774193548388
F5347,21.70967741935484,21.70967741935484
RS772,16.833333333333336,16.833333333333336
F23924,10.483870967741936,31.666666666666664
F5365,53.516129032258064,53.516129032258064
F23916,52.35483870967742,52.35483870967742
F12685,15.833333333333334,15.833333333333334
F35558,11.451612903225806,23.64516129032258
F33517,52.35483870967742,52.35483870967742
F16020,27.516129032258064,27.516129032258064
F35554,47.193548387096776,47.193548387096776
F15262,15.833333333333334,15.833333333333334
F23864,14.833333333333332,31.666666666666664
F5348,31.5,31.5
F5357,19.774193548387096,19.774193548387096
F1132,18.806451612903224,18.806451612903224
F42063,24.612903225806452,24.612903225806452
F42093,24.612903225806452,24.612903225806452
F5327,30.5,30.5
F5332,52.35483870967742,52.35483870967742
F5353,23.64516129032258,23.64516129032258
F41167,24.612903225806452,24.612903225806452
F5325,52.35483870967742,52.35483870967742
F15993,23.64516129032258,23.64516129032258
F35528,51.193548387096776,51.193548387096776
F42087,30.5,30.5
F6707,24.612903225806452,24.612903225806452
F12748,27.516129032258064,27.516129032258064
F5394,11.64516129032258,11.64516129032258
F41662,53.516129032258064,53.516129032258064
F5376,23.64516129032258,23.64516129032258
F26085,52.35483870967742,52.35483870967742
F12760,16.833333333333336,16.833333333333336
F6706,20.741935483870968,20.741935483870968
F9313,22.67741935483871,22.67741935483871
F23882,51.193548387096776,51.193548387096776
F15768,22.67741935483871,22.67741935483871
F12714,15.833333333333334,15.833333333333334
F12709,20.741935483870968,20.741935483870968
F1636,22.67741935483871,22.67741935483871
F43201,27.516129032258064,27.516129032258064
F6426,16.833333333333336,16.833333333333336
F15769,12.806451612903226,12.806451612903226
F41664,28.5,28.5
F23897,51.193548387096776,51.193548387096776
F12755,17.833333333333332,17.833333333333332
F23898,52.35483870967742,52.35483870967742
F35683,34.45161290322581,34.45161290322581
F23890,51.193548387096776,51.193548387096776
F31769,28.5,28.5
F9316,24.612903225806452,24.612903225806452
F23904,34.45161290322581,34.45161290322581
F16071,13.833333333333332,13.833333333333332
F1130,24.612903225806452,24.612903225806452
RS41,19.774193548387096,19.774193548387096
F12746,16.833333333333336,16.833333333333336
F5396,24.612903225806452,24.612903225806452
F23884,15.833333333333334,31.666666666666664
F23905,45.25806451612903,45.25806451612903
F12752,52.35483870967742,52.35483870967742
F23887,47.193548387096776,47.193548387096776
F34166,52.35483870967742,52.35483870967742
F12753,19.774193548387096,19.774193548387096
F23901,20.741935483870968,31.666666666666664
F5377,16.833333333333336,16.833333333333336
F35675,35.25806451612903,23.64516129032258
RS221,14.833333333333332,14.833333333333332
F9315,18.806451612903224,18.806451612903224
F23857,43.32258064516129,43.32258064516129
F23909,24.612903225806452,31.666666666666664
F2018,22.67741935483871,22.67741935483871
F23906,16.833333333333336,31.666666666666664
F15767,23.64516129032258,23.64516129032258
F23907,17.833333333333332,31.666666666666664
F12745,18.806451612903224,18.806451612903224
F5398,23.64516129032258,23.64516129032258
RS1915,44.29032258064516,44.29032258064516
RS2262,29.5,29.5
F5863,22.67741935483871,22.67741935483871
F33505,19.774193548387096,25.096774193548388
F37338,52.35483870967742,52.35483870967742
F23910,47.193548387096776,47.193548387096776
F33497,52.35483870967742,52.35483870967742
F9314,32.5,32.5
F16066,11.64516129032258,11.64516129032258
F13809,52.35483870967742,52.35483870967742
F23913,52.35483870967742,52.35483870967742
F34169,23.64516129032258,24.612903225806452
F34164,52.35483870967742,52.35483870967742
F33500,5.266666666666667,25.096774193548388
F23908,52.35483870967742,52.35483870967742
F8654,15.833333333333334,15.833333333333334
F42853,28.5,28.5
F8656,26.548387096774192,26.548387096774192
F7557,23.64516129032258,26.870967741935484
F30203,21.70967741935484,21.70967741935484
F20611,20.741935483870968,20.741935483870968
F13520,22.67741935483871,22.67741935483871
F2564,33.32258064516129,15.666666666666666
F30193,28.5,28.5
F2823,20.741935483870968,20.741935483870968
F8650,18.806451612903224,18.806451612903224
F4384,19.774193548387096,19.774193548387096
F8651,18.806451612903224,18.806451612903224
F41131,20.741935483870968,21.387096774193548
F1134,17.833333333333332,17.833333333333332
F2845,22.67741935483871,22.67741935483871
F2851,19.774193548387096,19.774193548387096
F41125,26.548387096774192,26.548387096774192
F2853,21.70967741935484,21.70967741935484
F7106,21.70967741935484,21.70967741935484
F8270,25.58064516129032,25.58064516129032
F4935,27.516129032258064,27.516129032258064
F7556,28.5,28.5
F7553,28.5,28.5
F7538,33.483870967741936,33.483870967741936
F7652,34.45161290322581,34.45161290322581
F7601,22.67741935483871,26.387096774193548
F28544,35.41935483870968,35.41935483870968
F7654,25.58064516129032,25.58064516129032
F7856,24.612903225806452,24.612903225806452
F7860,24.612903225806452,24.612903225806452
F7240,44.29032258064516,44.29032258064516
F7761,24.612903225806452,24.612903225806452
F7649,43.32258064516129,43.32258064516129
F7414,31.5,31.5
F7537,29.5,29.5
F7657,27.516129032258064,27.516129032258064
F7602,26.548387096774192,26.548387096774192
F7647,23.64516129032258,25.58064516129032
F7648,24.612903225806452,25.58064516129032
F7759,25.58064516129032,25.58064516129032
F4216,21.70967741935484,21.70967741935484
F4426,19.774193548387096,21.870967741935484
F31363,28.5,28.5
F9291,20.741935483870968,20.741935483870968
RS1568,33.483870967741936,33.483870967741936
F37227,24.612903225806452,24.612903225806452
F40180,28.5,28.5
